name,12/31/2021,12/31/2020,12/31/2019
TotalAssets,"38,699,448,000","18,299,898,000","11,133,841,000"
	CurrentAssets,"18,586,078,000","7,570,795,000","4,607,428,000"
		CashCashEquivalentsAndShortTermInvestments,"9,292,093,000","4,296,973,000","534,955,000"
			CashAndCashEquivalents,"3,109,518,000","1,693,284,000","445,229,000"
			OtherShortTermInvestments,"6,182,575,000","2,603,689,000","89,726,000"
		Inventory,"1,756,784,000","760,326,000","1,309,227,000"
		PrepaidAssets,"1,645,749,000","628,621,000","534,080,000"
		RestrictedCash,"1,251,816,000","632,485,000","1,080,166,000"
	TotalNonCurrentAssets,"20,113,370,000","10,729,103,000","6,526,413,000"
		NetPPE,"15,894,876,000","9,112,476,000","5,344,909,000"
			GrossPPE,"16,439,647,000","9,886,884,000","6,153,556,000"
				Properties,"0","0","0"
				LandAndImprovements,"612,706,000","529,878,000","410,292,000"
				BuildingsAndImprovements,"3,396,707,000","3,356,754,000","1,775,178,000"
				MachineryFurnitureEquipment,"3,627,658,000","2,391,697,000","2,473,284,000"
				OtherProperties,"30,668,000","16,130,000","88,941,000"
				ConstructionInProgress,"8,771,908,000","3,592,425,000","1,405,861,000"
			AccumulatedDepreciation,"-544,771,000","-774,408,000","-808,647,000"
		GoodwillAndOtherIntangibleAssets,"1,075,007,000","916,939,000","692,312,000"
			Goodwill,"0","140,097,000","140,097,000"
			OtherIntangibleAssets,"1,075,007,000","776,842,000","552,215,000"
		NonCurrentPrepaidAssets,"1,675,984,000","484,181,000","252,455,000"
TotalLiabilitiesNetMinorityInterest,"13,713,324,000","5,691,277,000","5,068,042,000"
	CurrentLiabilities,"9,890,350,000","5,066,820,000","3,633,200,000"
		CurrentProvisions,"136,396,000","84,827,000","48,675,000"
		CurrentDebtAndCapitalLeaseObligation,"14,689,000","753,369,000","824,751,000"
			CurrentDebt,"3,647,000","748,023,000","802,521,000"
			CurrentCapitalLeaseObligation,"11,042,000","5,346,000","22,230,000"
		OtherCurrentLiabilities,"82,074,000","42,530,000","19,086,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"3,822,974,000","624,457,000","1,434,842,000"
		LongTermDebtAndCapitalLeaseObligation,"2,902,709,000","358,594,000","482,265,000"
			LongTermDebt,"2,887,000,000","352,982,000","412,754,000"
			LongTermCapitalLeaseObligation,"15,709,000","5,612,000","69,511,000"
		TradeandOtherPayablesNonCurrent,,,"650,260,000"
TotalEquityGrossMinorityInterest,"24,986,124,000","12,608,621,000","6,065,799,000"
	StockholdersEquity,"24,161,894,000","12,166,044,000","5,599,567,000"
		CapitalStock,"1,506,457,000","12,768,773,000","6,396,732,000"
			CommonStock,"1,506,457,000","12,768,773,000","6,396,732,000"
		RetainedEarnings,"-257,649,000","-779,039,000","-783,250,000"
	MinorityInterest,"824,230,000","442,577,000","466,232,000"
TotalCapitalization,"27,048,894,000","12,519,026,000","6,012,321,000"
CommonStockEquity,"24,161,894,000","12,166,044,000","5,599,567,000"
CapitalLeaseObligations,"26,751,000","10,958,000","91,741,000"
NetTangibleAssets,"23,086,887,000","11,249,105,000","4,907,255,000"
WorkingCapital,"8,695,728,000","2,503,975,000","974,228,000"
InvestedCapital,"27,052,541,000","13,267,049,000","6,814,842,000"
TangibleBookValue,"23,086,887,000","11,249,105,000","4,907,255,000"
TotalDebt,"2,917,398,000","1,111,963,000","1,307,016,000"
NetDebt,,,"770,046,000"
ShareIssued,"1,772,301,858","1,772,301,858","1,772,301,858"
OrdinarySharesNumber,"1,772,301,858","1,772,301,858","1,772,301,858"