name,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
TotalAssets,"20,936,433,959.87","15,417,645,005.75","11,700,389,963.9","8,849,593,911.07","2,149,976,956.34","1,328,500,318.49"
	CurrentAssets,"11,454,766,924.97","8,961,184,920.58","7,121,136,290.23","7,432,931,340.04","1,322,256,849.86","787,012,813.23"
		CashCashEquivalentsAndShortTermInvestments,"5,577,360,207.91","5,835,997,262.53","4,606,998,083.97","5,327,623,280.36","222,059,702.76","328,008,376.68"
			CashAndCashEquivalents,"4,978,438,676.04","5,716,651,998.95","4,580,619,525.33","5,327,623,280.36","222,059,702.76","328,008,376.68"
				CashFinancial,"2,375,718,834.24","4,456,759,922.61","3,676,322,618.65","5,148,960,134.35","94,759,338.65","321,830,709.55"
				CashEquivalents,"2,602,719,841.8","1,259,892,076.34","904,296,906.68","178,663,146.01","127,300,364.11","6,177,667.13"
			OtherShortTermInvestments,"598,921,531.87","119,345,263.58","26,378,558.64",,,
		Inventory,"2,854,742,952.22","1,282,723,740.78","741,788,330.27","414,844,879.12","438,206,124.05","183,032,890.82"
			RawMaterials,"463,202,243.3","112,770,410.36","89,101,430.24","85,055,955.83","64,849,306.65","72,544,195.71"
			WorkInProcess,"544,637,350.4","352,856,531.35","152,239,064.93","203,889,886.6","129,851,334.7","73,523,696"
			FinishedGoods,"1,790,868,715.02","817,096,799.07","500,447,835.1","125,899,036.69","243,505,482.7","36,964,999.11"
			OtherInventories,"56,034,643.5",,"-30.27",,,
			InventoriesAdjustmentsAllowances,,"-118,416,392.84","-25,066,709.96","-29,306,264.5","-35,061,060.79","-2,861,577.85"
		PrepaidAssets,"370,657,086.6","48,760,855.88","65,243,027.02","28,423,774.37","15,345,570.78","20,839,979.09"
		OtherCurrentAssets,"709,337,587.95","355,189,402.62","116,508,269.74","16,211,982.05","58,784,209.22","1,093,485.92"
	TotalNonCurrentAssets,"9,481,667,034.9","6,456,460,085.17","4,579,253,673.67","1,416,662,571.03","827,720,106.48","541,487,505.26"
		NetPPE,"7,574,159,573.84","5,340,601,643.66","2,677,957,223.21","835,079,015.89","576,835,147.84","319,895,458.22"
			GrossPPE,"8,319,727,216.85","5,784,805,098.74","2,924,713,436.71","980,526,584.07","631,400,836.34","352,039,036.03"
				Properties,"2,403,036,052.96","1,538,693,097.96","783,325,270.66","283,108,498.53","140,178,509.66","14,181,897.11"
				LandAndImprovements,,,"256,510,598.7","180,534,828.33","110,582,601.54","110,582,601.54"
				BuildingsAndImprovements,,"1,538,693,097.96","783,325,270.66","283,108,498.53","140,178,509.66","14,181,897.11"
				MachineryFurnitureEquipment,"4,525,745,529.76","2,255,187,132.24","1,190,483,982.73","597,651,468.38","385,175,719.9","176,903,876.66"
				OtherProperties,"83,734,652.72","35,360,067.5","41,020,332.91","23,467,793.97","9,965,491.93","3,466,888.25"
				ConstructionInProgress,"1,307,210,981.41","1,955,564,801.04","909,883,850.41","76,298,823.19","96,081,114.85","157,486,374.01"
			AccumulatedDepreciation,"-745,567,643.01","-442,771,065.93","-246,756,213.5","-145,447,568.18","-54,565,688.5","-32,143,577.81"
		GoodwillAndOtherIntangibleAssets,"330,851,637.88","313,700,804.67","316,848,452.28","252,077,455.83","197,293,794.43","132,217,454.73"
			OtherIntangibleAssets,"330,851,637.88","313,700,804.67","316,848,452.28","252,077,455.83","197,293,794.43","132,217,454.73"
		NonCurrentDeferredAssets,"26,657,661.77","4,377,188.99","1,819,822.14",,,
			NonCurrentDeferredTaxesAssets,"364,892,223.34","131,157,381.17","75,707,903.41","56,365,362.07","15,027,551.76","11,673,238.19"
		OtherNonCurrentAssets,"329,386,922.19","221,386,539.8","1,503,005,548.11","268,355,922.99","34,453,612.45","73,591,354.12"
TotalLiabilitiesNetMinorityInterest,"11,662,357,896.43","5,341,062,260.62","4,597,019,076.41","2,222,844,762.79","1,744,691,417.65","1,014,993,714.99"
	CurrentLiabilities,"8,675,819,452.21","3,039,898,811.36","3,519,502,103.01","1,961,967,034.63","1,297,324,004.1","361,056,098.68"
		PensionandOtherPostRetirementBenefitPlansCurrent,,,"43,871,606.4","32,416,147.07","22,369,199.72","12,187,470.64"
		CurrentDebtAndCapitalLeaseObligation,"540,465,151.27","80,660,000","10,680,000","304,500,000","313,059,650","51,500,000"
			CurrentDebt,"540,465,151.27","80,660,000","10,680,000","304,500,000","313,059,650","51,500,000"
		OtherCurrentLiabilities,"1,962,815.05","3,293,305.66","2,831,384.27","7,254,934.3","1,135,686.75","816,838.76"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"2,986,538,444.22","2,301,163,449.26","1,077,516,973.4","260,877,728.16","447,367,413.55","653,937,616.31"
		LongTermDebtAndCapitalLeaseObligation,"2,199,962,577.63","1,652,333,438.07","613,288,661.63",,"304,496,885.2","388,493,753.31"
			LongTermDebt,"2,191,002,010.85","1,652,333,438.07","613,288,661.63",,"304,496,885.2","388,493,753.31"
			LongTermCapitalLeaseObligation,"8,960,566.78",,,,,
		TradeandOtherPayablesNonCurrent,,,,,,"164,210,276.91"
		OtherNonCurrentLiabilities,"137,733,852.53","120,212,700.8","138,050,603.16","94,009,412.39","47,625,252.13","176,706,060.3"
TotalEquityGrossMinorityInterest,"9,274,076,063.44","10,076,582,745.13","7,103,370,887.49","6,626,749,148.28","405,285,538.69","313,506,603.5"
	StockholdersEquity,"9,274,103,713.07","10,076,582,745.13","7,103,370,887.49","6,626,749,148.28","405,285,538.69","313,506,603.5"
		CapitalStock,"1,070,669,685","1,070,669,685","856,535,748","841,223,659.23","414,759,830.89","344,069,330.89"
			CommonStock,"1,070,669,685","1,070,669,685","856,535,748","841,223,659.23","414,759,830.89","344,069,330.89"
		AdditionalPaidInCapital,"9,076,241,785.05","9,076,241,785.05","6,062,430,224.49","5,872,529,319.45","11,520,283.19",
		RetainedEarnings,"-1,168,083,982.96","-215,363,690.53","115,640,568.79","-100,417,020.2","-22,202,191.9","-40,463,524.35"
		OtherEquityInterest,,"1,189,604.26","-1,391,018.59","685,290.1",,
	MinorityInterest,"-27,649.63",,,,,
TotalCapitalization,"11,465,105,723.92","11,728,916,183.2","7,716,659,549.12","6,626,749,148.28","709,782,423.89","702,000,356.81"
CommonStockEquity,"9,274,103,713.07","10,076,582,745.13","7,103,370,887.49","6,626,749,148.28","405,285,538.69","313,506,603.5"
CapitalLeaseObligations,"8,960,566.78",,,,,
NetTangibleAssets,"8,943,252,075.19","9,762,881,940.46","6,786,522,435.21","6,374,671,692.45","207,991,744.26","181,289,148.77"
WorkingCapital,"2,778,947,472.76","5,921,286,109.22","3,601,634,187.22","5,470,964,305.41","24,932,845.76","425,956,714.55"
InvestedCapital,"12,005,570,875.19","11,809,576,183.2","7,727,339,549.12","6,931,249,148.28","1,022,842,073.89","753,500,356.81"
TangibleBookValue,"8,943,252,075.19","9,762,881,940.46","6,786,522,435.21","6,374,671,692.45","207,991,744.26","181,289,148.77"
TotalDebt,"2,740,427,728.9","1,732,993,438.07","623,968,661.63","304,500,000","617,556,535.2","439,993,753.31"
NetDebt,,,,,"395,496,832.44","111,985,376.63"
ShareIssued,"1,070,669,685","1,070,669,685","856,535,748","856,535,748","856,535,748","856,535,748"
OrdinarySharesNumber,"1,070,669,685","1,070,669,685","856,535,748","856,535,748","856,535,748","856,535,748"