name,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
TotalRevenue,"338,637,884,000","216,142,395,000","156,597,691,000","127,738,523,000","130,054,707,000","105,914,702,000","103,469,997,000","80,008,968,000","58,195,878,000","52,863,284,000","48,178,042,000","48,826,919,000","48,448,416,000","41,113,912,000","27,727,209,000","21,211,213,000","13,098,236,000","6,529,023,000","6,441,869,000","4,076,006,000","2,290,900,000"
	OperatingRevenue,"338,637,884,000","216,142,395,000","156,597,691,000","127,738,523,000","130,054,707,000","105,914,702,000","103,469,997,000","80,008,968,000","58,195,878,000","52,863,284,000","48,178,042,000","48,826,919,000","48,448,416,000","41,113,912,000","27,727,209,000","21,211,213,000","13,098,236,000","6,529,023,000","6,441,869,000","4,076,006,000","2,290,900,000"
CostOfRevenue,"286,790,897,000","187,997,689,000","126,251,380,000","106,924,288,000","108,725,343,000","85,775,482,000","82,400,900,000","66,513,559,000","49,143,886,000","44,745,555,000","41,426,814,000","40,438,789,000","39,173,976,000","31,479,762,000","22,032,299,000","16,963,526,000","10,200,734,000","5,043,785,000","4,720,863,000","2,743,324,000","1,334,450,000"
GrossProfit,"51,846,987,000","28,144,706,000","30,346,311,000","20,814,235,000","21,329,364,000","20,139,220,000","21,069,097,000","13,495,409,000","9,051,992,000","8,117,729,000","6,751,228,000","8,388,130,000","9,274,440,000","9,634,150,000","5,694,910,000","4,247,687,000","2,897,502,000","1,485,238,000","1,721,006,000","1,332,682,000","956,450,000"
OperatingExpense,"36,956,899,000","20,547,527,000","17,301,155,000","13,953,184,000","13,296,423,000","11,792,313,000","12,550,691,000","9,550,378,000","7,616,464,000","6,530,106,000","7,079,761,000","6,224,987,000","6,141,870,000","4,935,293,000","3,861,644,000","2,129,588,000","1,596,844,000","918,668,000","720,897,000","461,395,000","202,970,000"
	SellingGeneralAndAdministration,"14,325,012,000","6,601,522,000","5,472,205,000","4,807,810,000","5,161,316,000","5,267,708,000","4,535,284,000","3,180,424,000","2,515,499,000","2,257,041,000","1,805,565,000","2,101,913,000","2,474,628,000","1,707,505,000","1,200,672,000","2,305,182,000","1,437,525,000","887,975,000","704,781,000","451,759,000","200,900,000"
		GeneralAndAdministrativeExpense,"3,145,935,000","519,844,000","416,592,000","461,913,000","431,835,000","342,420,000","338,945,000","312,432,000","286,741,000","245,196,000","293,768,000","302,156,000","298,747,000","219,770,000","266,441,000","1,656,995,000","957,347,000","717,886,000","544,440,000","349,367,000","147,060,000"
		SellingAndMarketingExpense,"11,179,077,000","6,081,678,000","5,055,613,000","4,345,897,000","4,729,481,000","4,925,288,000","4,196,339,000","2,867,992,000","2,228,758,000","2,011,845,000","1,511,797,000","1,799,757,000","2,175,881,000","1,487,735,000","934,231,000","648,187,000","480,178,000","170,089,000","160,341,000","102,392,000","53,840,000"
	ResearchAndDevelopment,"13,627,219,000","7,990,974,000","7,464,861,000","5,629,372,000","4,989,360,000","3,739,491,000","3,171,694,000","1,998,499,000","1,864,695,000","1,278,910,000","1,150,419,000","1,373,861,000","1,403,459,000","1,283,316,000","1,163,091,000",,,,,,
	OtherOperatingExpenses,"5,727,956,000","3,034,878,000","2,154,415,000","1,560,596,000","2,145,629,000","1,329,477,000","1,611,579,000","1,511,598,000","1,145,337,000","1,361,351,000","2,526,959,000","1,057,338,000","688,712,000","756,997,000","437,844,000",,"159,319,000","30,693,000","16,116,000","9,636,000","2,070,000"
OperatingIncome,"14,890,088,000","7,597,179,000","13,045,156,000","6,861,051,000","8,032,941,000","8,346,907,000","8,518,406,000","3,945,031,000","1,435,528,000","1,587,623,000","-328,533,000","2,163,143,000","3,132,570,000","4,698,857,000","1,833,266,000","2,118,099,000","1,300,658,000","566,570,000","1,000,109,000","871,287,000","753,480,000"
NetNonOperatingInterestIncomeExpense,"1,457,983,000","-1,253,603,000","-2,957,063,000","-3,144,493,000","-3,230,870,000","-2,106,423,000","-1,444,470,000","-1,319,775,000","-1,327,177,000","-984,893,000","390,883,000","-731,421,000","-268,967,000","-250,241,000","-418,019,000","-359,938,000","-232,986,000","-145,607,000","-43,063,000","9,891,000","-5,420,000"
	InterestIncomeNonOperating,"-238,649,000","631,841,000","214,613,000","353,761,000","187,230,000","95,783,000","152,701,000","53,421,000","104,675,000","70,124,000","50,518,000","54,822,000","27,431,000","17,639,000","90,953,000","28,483,000",,,,,
	InterestExpenseNonOperating,"1,396,383,000","1,907,642,000","3,123,801,000","3,487,407,000","3,118,751,000","2,342,770,000","1,799,609,000","1,517,003,000","1,396,828,000","1,017,318,000","-411,311,000","742,262,000","281,383,000","255,388,000","487,623,000","379,048,000","232,986,000","145,607,000","43,063,000","-9,891,000","5,420,000"
	TotalOtherFinanceCost,"-3,093,015,000","-22,198,000","47,875,000","10,847,000","299,349,000","-140,564,000","-202,438,000","-143,807,000","35,024,000","37,699,000","20,428,000","43,981,000","15,015,000","12,492,000","21,349,000","9,373,000","232,986,000","145,607,000","43,063,000","-9,891,000","5,420,000"
PretaxIncome,"12,710,660,000","4,518,003,000","6,882,587,000","2,431,131,000","4,385,640,000","5,620,641,000","6,568,410,000","3,794,986,000","873,952,000","832,081,000","290,725,000","1,727,484,000","3,142,267,000","4,506,450,000","1,363,972,000","1,742,880,000","1,073,996,000","458,474,000","967,108,000","920,104,000","763,370,000"
TaxProvision,"2,051,577,000","550,737,000","868,624,000","312,274,000","829,447,000","703,705,000","1,088,398,000","656,790,000","134,082,000","56,215,000","77,835,000","132,408,000","223,677,000","428,010,000","88,323,000","40,551,000","53,075,000","90,041,000","64,426,000","61,567,000","59,450,000"
NetIncomeCommonStockholders,"9,913,543,000","3,045,188,000","4,234,267,000","1,614,450,000","2,780,194,000","4,066,478,000","5,052,154,000","2,823,441,000","433,525,000","553,059,000","81,377,000","1,384,625,000","2,523,414,000","3,793,576,000","1,021,249,000","1,611,711,000","1,010,185,000","368,639,000","894,096,000","829,997,000","658,300,000"
	NetIncome,"9,913,543,000","3,045,188,000","4,234,267,000","1,614,450,000","2,780,194,000","4,066,478,000","5,052,154,000","2,823,441,000","433,525,000","553,059,000","81,377,000","1,384,625,000","2,523,414,000","3,793,576,000","1,021,249,000","1,611,711,000","1,010,185,000","368,639,000","894,096,000","829,997,000","658,300,000"
		NetIncomeIncludingNoncontrollingInterests,"10,659,083,000","3,967,266,000","6,013,963,000","2,118,857,000","3,556,193,000","4,916,936,000","5,480,012,000","3,138,196,000","739,870,000","775,866,000","212,890,000","1,595,076,000","2,918,590,000","4,078,440,000","1,275,649,000","1,702,329,000","1,020,921,000","368,433,000","902,682,000","858,537,000","703,930,000"
			NetIncomeContinuousOperations,"10,659,083,000","3,967,266,000","6,013,963,000","2,118,857,000","3,556,193,000","4,916,936,000","5,480,012,000","3,138,196,000","739,870,000","775,866,000","212,890,000","1,595,076,000","2,918,590,000","4,078,440,000","1,275,649,000","1,702,329,000","1,020,921,000","368,433,000","902,682,000","858,537,000","703,930,000"
			NetIncomeExtraordinary,,,"0","0",,,,,,,,,,,,,"0","0","0","0","10,000"
		MinorityInterests,"-745,540,000","-922,078,000","-1,779,696,000","-504,407,000","-775,999,000","-850,458,000","-427,858,000","-314,755,000","-306,345,000","-222,807,000","-131,513,000","-210,451,000","-395,176,000","-284,864,000","-254,400,000","-90,618,000","-10,736,000","206,000","-8,586,000","-28,540,000","-45,630,000"
	OtherunderPreferredStockDividend,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
DilutedNIAvailtoComStockholders,,,"4,017,633,000",,,,"4,840,032,000","2,782,612,000","433,525,000","553,059,000",,,,,,"1,611,711,000",,,,,
BasicEPS,,"1.06","1.47","0.5","0.93","1.4","1.88","1.12","0.18","0.23","0.03","0.6","1.11","8.85","2.5","2.99","0.932","0.34","0.825","0.765","0.607"
DilutedEPS,,"1.06","1.47","0.5","0.93","1.4","1.88","1.12","0.18","0.23","0.03","0.6","1.11","8.85","2.5","2.99","0.932","0.34","0.825","0.765","0.607"
BasicAverageShares,,"2,872,818,868","2,880,453,741","3,228,900,000","2,989,455,914","2,904,627,143","2,687,315,957","2,520,929,464","2,408,472,222","2,404,604,348","2,712,566,667","2,307,708,333","2,273,345,946","428,652,655","408,499,600","539,500,000","1,084,393,174","1,084,393,174","1,084,393,174","1,084,393,174","1,084,393,174"
DilutedAverageShares,,"2,872,818,868","2,880,453,741","3,228,900,000","2,989,455,914","2,904,627,143","2,687,315,957","2,484,475,000","2,408,472,222","2,404,604,348","2,712,566,667","2,307,708,333","793,100,000","793,100,000","2,042,498,000","2,050,100,000","1,084,393,174","1,084,393,174","1,084,393,174","1,084,393,174","1,084,393,174"
TotalOperatingIncomeAsReported,"12,848,567,000","4,631,992,000","7,085,773,000","2,312,288,000","4,241,760,000","5,410,551,000","5,986,251,000","3,175,965,000","-179,115,000","106,653,000","-304,372,000","1,410,351,000","2,767,500,000","4,168,526,000","990,189,000",,"1,083,668,000","457,799,000","966,785,000","919,539,000","762,320,000"
TotalExpenses,"323,747,796,000","208,545,216,000","143,552,535,000","120,877,472,000","122,021,766,000","97,567,795,000","94,951,591,000","76,063,937,000","56,760,350,000","51,275,661,000","48,506,575,000","46,663,776,000","45,315,846,000","36,415,055,000","25,893,943,000","19,093,114,000","11,797,578,000","5,962,453,000","5,441,760,000","3,204,719,000","1,537,420,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"9,913,543,000","3,045,188,000","4,234,267,000","1,614,450,000","2,780,194,000","4,066,478,000","5,052,154,000","2,823,441,000","433,525,000","553,059,000","81,377,000","1,384,625,000","2,523,414,000","3,793,576,000","1,021,249,000","1,611,711,000","1,010,185,000","368,639,000","894,096,000","829,997,000","658,290,000"
NormalizedIncome,"12,073,978,296.869","4,067,531,924.242","6,162,782,960","2,678,636,737.952","3,625,521,649.546","4,325,979,507.386","5,653,180,270","3,294,410,884","682,444,748","817,514,932","328,945,988","1,841,370,355.766","2,580,769,358.755","4,128,757,529.381","1,211,796,901.943","1,607,709,323.515","1,010,185,000","368,639,000","894,096,000","829,997,000","658,290,000"
InterestIncome,"-238,649,000","631,841,000","214,613,000","353,761,000","187,230,000","95,783,000","152,701,000","53,421,000","104,675,000","70,124,000","50,518,000","54,822,000","27,431,000","17,639,000","90,953,000","28,483,000",,,,,
InterestExpense,"1,396,383,000","1,907,642,000","3,123,801,000","3,487,407,000","3,118,751,000","2,342,770,000","1,799,609,000","1,517,003,000","1,396,828,000","1,017,318,000","-411,311,000","742,262,000","281,383,000","255,388,000","487,623,000","379,048,000","232,986,000","145,607,000","43,063,000","-9,891,000","5,420,000"
NetInterestIncome,"1,457,983,000","-1,253,603,000","-2,957,063,000","-3,144,493,000","-3,230,870,000","-2,106,423,000","-1,444,470,000","-1,319,775,000","-1,327,177,000","-984,893,000","390,883,000","-731,421,000","-268,967,000","-250,241,000","-418,019,000","-359,938,000","-232,986,000","-145,607,000","-43,063,000","9,891,000","-5,420,000"
EBIT,"14,107,043,000","6,425,645,000","10,006,388,000","5,918,538,000","7,504,391,000","7,963,411,000","8,368,019,000","5,311,989,000","2,270,780,000","1,849,399,000","-120,586,000","2,469,746,000","3,423,650,000","4,761,838,000","1,851,595,000","2,121,928,000","1,300,658,000","566,570,000","1,000,109,000","871,287,000","753,480,000"
EBITDA,"14,107,043,000"
ReconciledCostOfRevenue,"286,790,897,000","187,997,689,000","126,251,380,000","106,924,288,000","108,725,343,000","85,775,482,000","82,400,900,000","66,513,559,000","49,143,886,000","44,745,555,000","41,426,814,000","40,438,789,000","39,173,976,000","31,479,762,000","22,032,299,000","16,963,526,000","10,200,734,000","5,043,785,000","4,720,863,000","2,743,324,000","1,334,450,000"
ReconciledDepreciation,,"14,078,525,000","12,485,170,000","9,795,125,000","9,398,685,000","7,084,038,000","7,027,569,000","5,416,617,000","4,314,847,000","3,627,030,000","3,359,329,000","2,761,280,000","2,249,308,000","1,762,583,000","1,360,411,000","898,473,000","499,709,000","351,650,000",,"53,841,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"9,913,543,000","3,045,188,000","4,234,267,000","1,614,450,000","2,780,194,000","4,066,478,000","5,052,154,000","2,823,441,000","433,525,000","553,059,000","81,377,000","1,384,625,000","2,523,414,000","3,793,576,000","1,021,249,000","1,611,711,000","1,010,185,000","368,639,000","894,096,000","829,997,000","658,290,000"
TotalUnusualItemsExcludingGoodwill,"-2,576,259,000","-1,164,266,000","-2,206,540,000","-1,221,025,000","-1,042,492,000","-296,641,000","-720,655,000","-569,492,000","-293,884,000","-283,751,000","-338,209,000","-494,660,000","-61,751,000","-370,357,000","-203,741,000","4,097,000",,,,,
TotalUnusualItems,"-2,576,259,000","-1,164,266,000","-2,206,540,000","-1,221,025,000","-1,042,492,000","-296,641,000","-720,655,000","-569,492,000","-293,884,000","-283,751,000","-338,209,000","-494,660,000","-61,751,000","-370,357,000","-203,741,000","4,097,000",,,,,
NormalizedEBITDA,"16,683,302,000","21,668,436,000","24,698,098,000","16,934,688,000","17,945,568,000","15,344,090,000","16,116,243,000","11,298,098,000","6,879,511,000","5,760,180,000","3,576,952,000","5,725,686,000","5,734,709,000","6,894,778,000","3,415,747,000","3,016,304,000","1,800,367,000","918,220,000","1,000,109,000","925,128,000","753,480,000"
TaxRateForCalcs,"0.161","0.122","0.126","0.128","0.189","0.125","0.166","0.173","0.153","0.068","0.268","0.077","0.071","0.095","0.065","0.023","0.049","0.196","0.067","0.067","0.078"
TaxEffectOfUnusualItems,"-415,823,703.131","-141,922,075.758","-278,024,040","-156,838,262.048","-197,164,350.454","-37,139,492.614","-119,628,730","-98,522,116","-44,964,252","-19,295,068","-90,640,012","-37,914,644.234","-4,395,641.245","-35,175,470.619","-13,193,098.057","95,323.515","0","0","0","0","0"