name,ttm,12/31/2021,12/31/2020,12/31/2019
TotalRevenue,"9,651,013,000","6,817,115,000","2,825,419,000","1,733,832,000"
	OperatingRevenue,"9,651,013,000","6,817,115,000","2,825,419,000","1,733,832,000"
CostOfRevenue,"9,092,391,000","6,438,837,000","2,440,745,000","1,650,574,000"
GrossProfit,"558,622,000","378,278,000","384,674,000","83,258,000"
OperatingExpense,"625,722,000","485,930,000","339,747,000","176,552,000"
	SellingGeneralAndAdministration,"338,073,000","255,458,000","141,803,000","91,024,000"
		GeneralAndAdministrativeExpense,"134,218,000","111,143,000","70,005,000","46,914,000"
			RentAndLandingFees,"19,833,000","15,201,000","6,527,000","4,185,000"
		SellingAndMarketingExpense,"203,855,000","144,315,000","71,798,000","44,110,000"
	ResearchAndDevelopment,"398,869,000","285,256,000","201,989,000","135,892,000"
	OtherOperatingExpenses,"74,895,000","53,602,000","-23,315,000","136,759,000"
OperatingIncome,"-67,100,000","-107,652,000","44,927,000","-93,294,000"
NetNonOperatingInterestIncomeExpense,"179,398,000","140,101,000","-32,477,000","-25,084,000"
	InterestIncomeNonOperating,"206,231,000","172,266,000","27,709,000","17,917,000"
	InterestExpenseNonOperating,"17,421,000","24,975,000","57,365,000","41,175,000"
	TotalOtherFinanceCost,"9,412,000","7,190,000","2,821,000","1,826,000"
PretaxIncome,"116,743,000","63,433,000","4,297,000","-184,513,000"
TaxProvision,"7,340,000","-48,107,000","22,625,000","-28,112,000"
NetIncomeCommonStockholders,"138,645,000","140,029,000","5,157,000","-118,690,000"
	NetIncome,"138,645,000","140,029,000","5,157,000","-118,690,000"
		NetIncomeIncludingNoncontrollingInterests,"109,403,000","111,540,000","-18,328,000","-156,401,000"
			NetIncomeContinuousOperations,"109,403,000","111,540,000","-18,328,000","-156,401,000"
		MinorityInterests,"29,242,000","28,489,000","23,485,000","37,711,000"
	OtherunderPreferredStockDividend,"0","0","0","0"
DilutedNIAvailtoComStockholders,"138,645,000","140,029,000","5,157,000","-118,690,000"
BasicEPS,,"0.079","0.003","-0.067"
DilutedEPS,,"0.079","0.003","-0.067"
BasicAverageShares,,"1,772,301,858","1,772,301,858","1,772,301,858"
DilutedAverageShares,,"1,772,301,858","1,772,301,858","1,772,301,858"
TotalOperatingIncomeAsReported,"147,858,000","113,122,000","61,025,000","-134,623,000"
RentExpenseSupplemental,"19,833,000","15,201,000","6,527,000","4,185,000"
TotalExpenses,"9,718,113,000","6,924,767,000","2,780,492,000","1,827,126,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"138,645,000","140,029,000","5,157,000","-118,690,000"
NormalizedIncome,"25,034,300.438","34,085,500","14,512,500","-70,448,141.09"
InterestIncome,"206,231,000","172,266,000","27,709,000","17,917,000"
InterestExpense,"17,421,000","24,975,000","57,365,000","41,175,000"
NetInterestIncome,"179,398,000","140,101,000","-32,477,000","-25,084,000"
EBIT,"134,164,000","88,408,000","61,662,000","-143,338,000"
EBITDA,"766,467,000"
ReconciledCostOfRevenue,"9,092,391,000","6,438,837,000","2,440,745,000","1,650,574,000"
ReconciledDepreciation,"632,303,000","557,625,000","316,467,000","277,014,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"138,645,000","140,029,000","5,157,000","-118,690,000"
TotalUnusualItemsExcludingGoodwill,"121,233,000","141,258,000","-12,474,000","-56,913,000"
TotalUnusualItems,"121,233,000","141,258,000","-12,474,000","-56,913,000"
NormalizedEBITDA,"645,234,000","504,775,000","390,603,000","190,589,000"
TaxRateForCalcs,"0.063","0.25","0.25","0.152"
TaxEffectOfUnusualItems,"7,622,300.438","35,314,500","-3,118,500","-8,671,141.09"