name,ttm,12/31/2022,12/31/2021,12/31/2020,12/31/2019
TotalRevenue,"204,495,000","204,495,000","151,976,000","107,518,000","76,434,000"
	OperatingRevenue,"204,495,000","204,495,000","151,976,000","107,518,000","76,434,000"
CostOfRevenue,"195,422,000","195,422,000","194,719,000","90,378,000","76,665,000"
GrossProfit,"9,073,000","9,073,000","-42,743,000","17,140,000","-231,000"
OperatingExpense,"169,019,000","169,019,000","151,321,000","46,247,000","53,630,000"
	SellingGeneralAndAdministration,"127,183,000","127,183,000","123,063,000","32,610,000","30,878,000"
		GeneralAndAdministrativeExpense,"104,572,000","104,572,000","101,632,000","18,849,000","15,166,000"
			OtherGandA,"104,572,000","104,572,000","101,632,000","18,849,000","15,166,000"
		SellingAndMarketingExpense,"22,611,000","22,611,000","21,431,000","13,761,000","15,712,000"
	ResearchAndDevelopment,"43,508,000","43,508,000","34,385,000","16,637,000","25,995,000"
	OtherOperatingExpenses,"-1,672,000","-1,672,000","-6,127,000","-3,000,000","-3,243,000"
OperatingIncome,"-159,946,000","-159,946,000","-194,064,000","-29,107,000","-53,861,000"
NetNonOperatingInterestIncomeExpense,"-144,000","-144,000","-4,965,000","-5,167,000","-5,468,000"
	InterestIncomeNonOperating,"3,179,000","3,179,000","446,000","571,000","884,000"
	InterestExpenseNonOperating,"3,323,000","3,323,000","5,411,000","5,738,000","6,352,000"
OtherIncomeExpense,"1,923,000","1,923,000","-7,454,000","650,000","-145,000"
	GainOnSaleOfSecurity,"979,000","979,000","2,469,000",,
	OtherNonOperatingIncomeExpenses,"944,000","944,000","-9,923,000","650,000","-145,000"
PretaxIncome,"-158,167,000","-158,167,000","-206,483,000","-33,624,000","-59,474,000"
TaxProvision,"33,000","33,000","0","1,000","189,000"
NetIncomeCommonStockholders,"-158,200,000","-158,200,000","-234,103,000","-80,963,000","-115,479,000"
	NetIncome,"-158,200,000","-158,200,000","-216,006,000","-49,552,000","-72,590,000"
		NetIncomeIncludingNoncontrollingInterests,"-158,200,000","-158,200,000","-206,483,000","-33,625,000","-59,663,000"
			NetIncomeContinuousOperations,"-158,200,000","-158,200,000","-206,483,000","-33,625,000","-59,663,000"
		MinorityInterests,"0","0","-9,523,000","-15,927,000","-12,927,000"
	OtherunderPreferredStockDividend,"0","0","18,097,000","31,411,000","42,889,000"
DilutedNIAvailtoComStockholders,"-158,200,000","-158,200,000","-234,103,000","-80,963,000","-115,479,000"
BasicEPS,,"-0.52","-1.26","-0.269","-0.384"
DilutedEPS,,"-0.52","-1.26","-0.269","-0.384"
BasicAverageShares,,"303,279,188","185,896,482","300,516,246","300,516,246"
DilutedAverageShares,,"303,279,188","185,896,482","300,516,246","300,516,246"
TotalOperatingIncomeAsReported,"-159,946,000","-159,946,000","-194,064,000","-29,107,000","-53,861,000"
TotalExpenses,"364,441,000","364,441,000","346,040,000","136,625,000","130,295,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-158,200,000","-158,200,000","-216,006,000","-49,552,000","-72,590,000"
NormalizedIncome,"-158,787,400","-158,787,400","-218,475,000","-49,552,000","-72,590,000"
InterestIncome,"3,179,000","3,179,000","446,000","571,000","884,000"
InterestExpense,"3,323,000","3,323,000","5,411,000","5,738,000","6,352,000"
NetInterestIncome,"-144,000","-144,000","-4,965,000","-5,167,000","-5,468,000"
EBIT,"-154,844,000","-154,844,000","-201,072,000","-27,886,000","-53,122,000"
EBITDA,"-134,479,000"
ReconciledCostOfRevenue,"195,422,000","195,422,000","194,719,000","90,378,000","76,665,000"
ReconciledDepreciation,"20,365,000","20,365,000","20,713,000","16,792,000","15,387,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-158,200,000","-158,200,000","-216,006,000","-49,552,000","-72,590,000"
TotalUnusualItemsExcludingGoodwill,"979,000","979,000","2,469,000",,
TotalUnusualItems,"979,000","979,000","2,469,000",,
NormalizedEBITDA,"-135,458,000","-135,458,000","-182,828,000","-11,094,000","-37,735,000"
TaxRateForCalcs,"0.4","0.4","0","0.27","0.27"
TaxEffectOfUnusualItems,"391,600","391,600","0","0","0"